Sigle,Courriel
ACAMB,ac.cambodgien@wanadoo.fr
ACAT,acat@acatfrance.fr
ACCES,acceslirabebe@wanadoo.fr
ACE,contact@ace.asso.fr
ACJ,jc.wilkens@choralies.org
ACT,arcencieltheatre@orange.fr
ADAJEP,e.coggiola@jpa.asso.fr
ADELS,adels@adels.org
ADEMIR,ademirnet@free.fr
ADFE,contact@adfe.org
AFA,afa@cieletespace.fr
AFCAE,afcae@art-et-essai.org
AFE,contact@aufildeleau.eu
AFEV,pole.national@afev.org
AFIP,contact@afip.asso.fr
AFL,afl@lecture.org
AFMD,afmd@afmd.asso.fr
AFMF,afmf78@wanadoo.fr
AFOCAL,direction@afocal.fr
AFPD,info@lespetitsdebrouillards.org
AFS,info-france@afs.org
AFV,blandine.deboos@afvp.org
AGIR,agirabcd@agirabcd.org
AIDES,aides@aides.org
ALF,courrier@alf-ludotheques.org
ALH,lesblousesroses@wanadoo.fr
AA,association-altitude@orange.fr
AMNESTY,webmestre@amnesty.fr
ANACEJ,info@anacej.asso.fr
ANCEF,info@ancef.com
CULTRAD,cultures-traditions@wanadoo.fr
ANIMAFAC,info@animafac.net
ANIT,secretariat@anit.asso.fr
ANPAA,contact@anpaa.asso.fr
ANPEDA,contact@anpeda.fr
ANRAT,anrat-@wanadoo.fr
ANVP,anvpparis@free.fr
CDD,conseil@compagnons-du-devoir.com
APAJH,federationapajh@wanadoo.fr
APF,nicolas.merille@apf.asso.fr
APMCJ,info@apmcj.com
APTE,courrier@apte.asso.fr
ARFJ,contact@arfj.asso.fr
ARIA,contact@ariacorse.net
ATC,routes.du.monde@wanadoo.fr
ATD,administration@atd-quartmonde.org
ATTAC,attac@attac.org
AUPF,aupf@orange.fr
AUXAV,lesauxiliaires@wanadoo.fr
AV,afriqueverte@wanadoo.fr
VO ,bienvenue@vacances-ouvertes.asso.fr
AZ,info@zellidja.com
BABEL,a.heully@cafebabel.com
CBF- RECIF,coordination@cbf.fr
CCEM,infoccem@aol.com
CCFDTS,p.eluard@ccfd.asso.fr
CCPF,contact@ccpf.info
CCSC,ccsc@free.fr
CDC,cdc@culturesducoeur.org
CEI,av@cei4vents.com
CEL,cel@culture-et-liberte.asso.fr
CELAVAR,celavar@wanadoo.fr
CEMEA,direction.generale@cemea
CEP,promotion@wanadoo
CHAM,cham@cham.asso.fr
CHANTIER,contact.national@chantier
CHEER,contact@cheer-up.fr
CHMR,cmr@cmr.cef.fr
CIDEM,cidem@cidem.org
CIDJ,cidj@cidj.asso.fr
CIJM,cijm@cijm.org
CIMADE,infos@lacimade.org
CIRASTI,cirasti@cirasti.org
CJH,cjh@compagnons.asso.fr
CLCV,clcv@clcv.org
CLE,phgenet@ffsc.fr
CLERAF,directeur@cler.net
CLIP,assoclip@club-internet.fr
CMF,cmf@cmf-musique.org
CMJCF,cmjcf@cmjcf.fr
CMR,federation@lescmr.asso.fr
CNAFAL,cnafal@wanadoo.fr
CNAFC,cnafc@afc-france.org
CNGFF,secretariatcngff@aol.com
CNJE,president@cnje.org
CNOSAP,cnosap2@wanadoo.fr
CNOSF,AndreLeclercq@cnosf.org
COF,alcool.assist@wanadoo.fr
COFECIC,cofecic@gmail.com
CONCORDIA,dg@concordia.fr
COORACE,courrier@coorace.org
CORALI,soncinj@fr.oleane.com
COTRAVAUX,cotravaux@cotravaux.org
CPCV,jfb.cpcvunion@freesurf.fr
CRDA,contact@icrda.com
CRID,v.guerpillon@crid.asso.fr
CRILJ,dbarriolade@noos.fr
CRIPS,info@lecrips.net
CVM,clubduvieuxmanoir@free.fr
DAL,sec@droitaulogement.org
DCC,ladcc@ladcc.org
DEJJ,dejj75@gmail.com
EB,enfant.bleu@free.fr
ECPM,ecpm@abolition.fr
EEDF,national@eedf.asso.fr
EEIF,centre.national@eeif.org
EEM,info@enfancemusique.ass
EEUDF,sn@eeudf.org
FACEEF,fede@faceef.org
FADEAR,fadear@globenet.org
FAFN,federation.fafn@orange.fr
FAGE,direction@fage.org
FAMDT,accueil@famdt.com
FASTI,info@fasti.org
FCCM,federationccm@yahoo.fr
FCPE,fcpe@fcpe.asso.fr
FCPN,info@fcpn.fr
FCSF,bengraa@centres-
FDH,fdh@fdh.org
FEDEGN,secretariat@fedegn.org
FEDELIMA,contact@fedelima.org
FEE,secretariat@scout-fee.org
FESJ,coordination@fesj.org
FESTHEA,festhea@free.fr
FFAMP,philipperaout@free.fr
FFAP,philatelie@ffap.net
FFCAM,l.jourjon@ffcam.fr
FFCV,fedvid@aliceadsl.fr
FFCVP,amadocaillet@tele2.fr
FFD,ffdance@wanadoo.fr
FFEC,direction@ffec.asso.fr
FFS,contact@ffspeleo.fr
FFG,ffg@JeuDeGo.org
FFJD,secretaire@ffjd.fr
FFMJC,contact@ffmjc.org
FFSC,info@ffsc.fr
FFUTAN,ffutan@utan.asso.fr
FLEC,contact@laflec.com
FNAFR,infos@famillesrurales.org
FNASCE,fnasce@i-carre.net
Fédération,couplesetfamilles@fr
FORESCO,foresco@orange.fr
FSCF,direction@fscf.asso.fr
FSJU,demande@fsju.org
FUAJ,fuaj@fuaj.org
Fédération Voile-,federation.voileaviron@gm
GENEPI,tresorier@genepi.fr
Fédération,nationale@ainesruraux.org
GER,guilde@club-internet.fr
GFEN,gfen@gfen.asso.fr
GIAA,giaa@giaa.org
international des,gifae.secretariat@fre
GREP,grep.voisin@wanadoo.fr
IASTAR,nhorber@radiocampus.fr
IEO,direccion@ieo-oc.org
IFAC,contact@ifac.asso.fr
ISF,courrier@isf-france.org
IXESN France,bureau@ixesn.fr
JCEF,jcef@jcef.asso.fr
JEC,contact@jecfrance.org
JER,mca@volontariat.org
JIC,jic@jic.cef.fr
JMF,vniqueux@lesjmf.org
JPA,lajpa@jpa.asso.fr
LF,les-fauvettes@wanadoo.fr
LFAJ,lfaj@club-internet.fr
LICRA,licra@licra.org
LIGUE,jchauvin@laligue.org
LPO,lpo@lpo.fr
LVE,info@lavoixdelenfant.org
LVN,siege@lvn.asso.fr
MAN,man@nonviolence.fr
